name;short_name;county_id
"COLEGIUL AGRICOL ""DANIIL POPOVICI BARCIANU"" SIBIU";"COL AGRICOL ""D.P.BARCIANU"" SIBIU";SIBIU
"COLEGIUL AGRICOL ""DIMITRIE CANTEMIR"", MUN. HUŞI";COL AGR HUŞI;VASLUI
"COLEGIUL AGRICOL ŞI DE INDUSTRIE ALIMENTARĂ ""VASILE ADAMACHI"", IAŞI";"COL AGR ""V. ADAMACHI"" IASI";IAŞI
"COLEGIUL AGRICOL ""TRAIAN SĂVULESCU"" TÎRGU MUREȘ";"COL. AGR. ""T. SĂVULESCU"" TG. MUREȘ";MUREŞ
"COLEGIUL ""ALEXANDRU CEL BUN"" GURA HUMORULUI";"COLEGIUL ""AL. CEL BUN"" GURA HUMORULUI";SUCEAVA
"COLEGIUL ""ANDRONIC MOTRESCU"" RĂDĂUȚI";"COLEGIUL ""ANDRONIC MOTRESCU"" RĂDĂUȚI";SUCEAVA
Colegiul 'Aurel Vijoli' Făgăraș;Colegiul 'Aurel Vijoli' Făgăraș;BRAŞOV
"COLEGIUL AUTO ""TRAIAN VUIA"" TG-JIU";"COL AUTO ""TRAIAN VUIA"" TG-JIU";GORJ
COLEGIUL COMERCIAL ’CAROL I’ CONSTANŢA;COL COMERCIAL ’CAROL I’ CȚA;CONSTANŢA
"COLEGIUL ""DANUBIUS"", MUNICIPIUL GALATI";"COL.""DANUBIUS"" GL";GALAŢI
"COLEGIUL DE ARTĂ ""CARMEN SYLVA"", MUNICIPIUL PLOIEȘTI";"COLEGIUL DE ARTA ""CARMEN SYLVA"" PLOIESTI";PRAHOVA
"COLEGIUL DE ARTĂ ""CIPRIAN PORUMBESCU"" SUCEAVA";COLEGIUL DE ARTĂ ”C. PORUMBESCU” SUCEAVA;SUCEAVA
COLEGIUL DE ARTE BAIA MARE;COL ARTE BM;MARAMUREŞ
"COLEGIUL DE ARTE ""SABIN DRAGOI"" ARAD";"COLEGIUL DE ARTE ""SABIN DRAGOI"" ARAD";ARAD
"COLEGIUL DE INDUSTRIE ALIMENTARA ""ELENA DOAMNA"", LOCALITATEA GALATI";"COL.IND.""ELENA DOAMNA"" GL";GALAŢI
COLEGIUL DE ÎNVĂȚĂMÂNT TERȚIAR NONUNIVERSITAR USAMVBT TIMIȘOARA;COL. INV. USAMVBT TIMISOARA;TIMIŞ
"COLEGIUL DE MUZICĂ ""SIGISMUND TODUȚĂ"" CLUJ-NAPOCA";"COLEGIUL DE MUZICĂ ""SIGISMUND TODUȚĂ"" CLUJ-NAPOCA";CLUJ
"COLEGIUL DE SERVICII ÎN TURISM ""NAPOCA"" CLUJ-NAPOCA";"COLEGIUL DE SERVICII ÎN TURISM ""NAPOCA"" CLUJ-N";CLUJ
Colegiul de Științe ale Naturii 'Emil Racoviță' Brașov;Colegiul 'Emil Racoviță' Brașov;BRAŞOV
Colegiul de Științe 'Grigore Antipa' Brașov;Colegiul de Științe 'Grigore Antipa' Brașov;BRAŞOV
"COLEGIUL DOBROGEAN ""SPIRU HARET"" TULCEA";"COLEGIUL ""S. HARET"" TULCEA";TULCEA
"COLEGIUL ECOLOGIC ""PROF.UNIV.DR. ALEXANDRU IONESCU"" PITEȘTI";COL. ECOLOGIC AL. IONESCU PITEȘTI;ARGEŞ
COLEGIUL ECONOMIC ADMINISTRATIV, IAŞI;COL EC ADM IASI;IAŞI
Colegiul Economic ”A.D.Xenopol”;Col.Ec. ”A.D.Xenopol”;MUNICIPIUL BUCUREŞTI
COLEGIUL ECONOMIC AL BANATULUI MONTAN REŞIŢA;COLEGIUL ECONOMIC AL BANATULUI MONTAN REŞIŢA;CARAŞ-SEVERIN
"COLEGIUL ECONOMIC ""ANGHEL RUGINĂ"", MUN. VASLUI";COL_ECONOMIC;VASLUI
COLEGIUL ECONOMIC ARAD;COLEGIUL ECONOMIC ARAD;ARAD
COLEGIUL ECONOMIC CALARASI;COLEGIUL ECONOMIC CALARASI;CĂLĂRAŞI
"Colegiul Economic ""Costin C. Kiriţescu""";"Col. Ec. ""Costin C. Kiriţescu""";MUNICIPIUL BUCUREŞTI
"COLEGIUL ECONOMIC ""DELTA DUNĂRII"" TULCEA";COLEGIUL ECONOMIC;TULCEA
"COLEGIUL ECONOMIC ""DIMITRIE CANTEMIR"" SUCEAVA";COLEGIUL ECONOMIC ”DIMITRIE CANTEMIR” SUCEAVA;SUCEAVA
"COLEGIUL ECONOMIC ""DIONISIE POP MARTIAN"" ALBA IULIA";"COL.EC.""D.P.M."" ALBA IULIA";ALBA
"COLEGIUL ECONOMIC ""EMANUIL GOJDU"" HUNEDOARA";"COLEGIUL ECONOMIC ""EMANUIL GOJDU"" HUNEDOARA";HUNEDOARA
"COLEGIUL ECONOMIC ""FRANCESCO SAVERIO NITTI"" TIMIȘOARA";COL.ECONOMIC TIMISOARA;TIMIŞ
"COLEGIUL ECONOMIC ""GEORGE BARIȚIU"" SIBIU";"COL EC ""G.BARIȚIU"" SIBIU";SIBIU
"COLEGIUL ECONOMIC ""GHEORGHE CHITU"" CRAIOVA";COLEGIUL GHEORGHE CHITU CRAIOVA;DOLJ
"COLEGIUL ECONOMIC ""GHEORGHE DRAGOȘ"" SATU MARE";"CEC "" GHEORGHE DRAGOȘ"" SATU MARE";SATU MARE
Colegiul Economic ”Hermes”;Col.Ec. ”Hermes”;MUNICIPIUL BUCUREŞTI
"COLEGIUL ECONOMIC ""HERMES"" PETROȘANI";"COLEGIUL ECONOMIC ""HERMES"" PETROȘANI";HUNEDOARA
"COLEGIUL ECONOMIC ""ION GHICA""";"COLEGIUL ECONOMIC ""ION GHICA""";BRĂILA
"COLEGIUL ECONOMIC ""ION GHICA"" BACĂU";"COLEGIUL ECONOMIC ""ION GHICA"" BACĂU";BACĂU
COLEGIUL ECONOMIC ”ION GHICA” TÂRGOVIȘTE;COLEGIUL ECONOMIC ”ION GHICA” TÂRGOVIȘTE;DÂMBOVIŢA
"COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA";"COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA";CLUJ
COLEGIUL ECONOMIC MANGALIA;COL ECONOMIC MANGALIA;CONSTANŢA
"COLEGIUL ECONOMIC ""MARIA TEIULEANU"" PITEȘTI";COL. ECONOMIC PITEȘTI;ARGEŞ
"COLEGIUL ECONOMIC ""MIHAIL KOGALNICEANU"" FOCSANI";"COL. EC. ""M. KOGALNICEANU"" FOCSANI";VRANCEA
COLEGIUL ECONOMIC, MUN. RM. VALCEA;COL ECONOMIC RM. VALCEA;VÂLCEA
COLEGIUL ECONOMIC MUNICIPIUL BUZĂU;COL ECONOMIC BZ;BUZĂU
"COLEGIUL ECONOMIC ""NICOLAE TITULESCU"" BAIA MARE";CE N TITULESCU BM;MARAMUREŞ
"COLEGIUL ECONOMIC ""OCTAV ONICESCU"" BOTOSANI";"COLEGIUL ECONOMIC ""O.ONICESCU""";BOTOŞANI
"COLEGIUL ECONOMIC ""PARTENIE COSMA"" ORADEA";"CE ""P.COSMA"" ORADEA";BIHOR
"COLEGIUL ECONOMIC ""PINTEA VITEAZUL"" CAVNIC";CE P VITEAZUL CAVNIC;MARAMUREŞ
"COLEGIUL ECONOMIC ""TRANSILVANIA"" TÎRGU MUREȘ";"COL. EC. ""TRANSILVANIA"" TG. MURES";MUREŞ
"Colegiul Economic ""V. Madgearu""";"Colegiul Economic ""V. Madgearu""";MUNICIPIUL BUCUREŞTI
"Colegiul Economic ""Viilor""";"Col. Ec. ""Viilor""";MUNICIPIUL BUCUREŞTI
"COLEGIUL ECONOMIC ""VIRGIL MADGEARU"", LOCALITATEA GALATI";"COL.EC.""V.MADGEARU"" GL";GALAŢI
"COLEGIUL ECONOMIC ""VIRGIL MADGEARU"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""V.MADGEARU"" PLOIESTI";PRAHOVA
"COLEGIUL ECONOMIC ""VIRGIL MADGEARU"" TG-JIU";"COL.ECO.""VIRGIL MADGEARU"" TG-JIU";GORJ
"COLEGIUL ""EMIL NEGRUȚIU"" TURDA";"COLEGIUL ""EMIL NEGRUȚIU"" TURDA";CLUJ
COLEGIUL ENERGETIC, MUN. RM. VALCEA;COL ENERGETIC RM. VALCEA;VÂLCEA
"COLEGIUL ""FERDINAND I"", COMUNA MĂNECIU";COLEGIUL MANECIU;PRAHOVA
"Colegiul German ""Goethe""";"Colegiul German ""Goethe""";MUNICIPIUL BUCUREŞTI
"COLEGIUL ""GHEORGHE TATARESCU"" ROVINARI";"COL ""GHEORGHE TATARESCU"" ROVINARI";GORJ
"COLEGIUL ""ION KALINDERU"", ORAȘUL BUȘTENI";"COLEGIUL ""ION KALINDERU"" BUSTENI";PRAHOVA
"COLEGIUL ""MIHAI EMINESCU"" BACĂU";"COLEGIUL ""MIHAI EMINESCU"" BACĂU";BACĂU
"COLEGIUL ""MIHAI VITEAZUL"" BUMBESTI-JIU";"COL. ""M.VITEAZUL"" BUMBESTI-JIU";GORJ
"COLEGIUL ""MIHAI VITEAZUL"" INEU";"COLEGIUL ""MIHAI VITEAZUL"" INEU";ARAD
"COLEGIUL ""MIHAIL CANTACUZINO"", ORAȘUL SINAIA";"COLEGIUL ""M.CANTACUZINO"" SINAIA";PRAHOVA
"COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI";"COL. NATIONAL ""AL. I. CUZA"" FOCSANI";VRANCEA
"COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"", LOCALITATEA GALATI";"COL.NAT.""AL.I.CUZA"" GL";GALAŢI
COLEGIUL NATIONAL ALEXANDRU LAHOVARI, MUN. RM. VALCEA;CN AL.LAHOVARI RM.VALCEA;VÂLCEA
"COLEGIUL NATIONAL ""A.T.LAURIAN"" BOTOSANI";"COLEGIUL NAT.""A.T.LAURIAN"" BT";BOTOŞANI
"COLEGIUL NATIONAL ""BARBU STIRBEI"" CALARASI";"COLEGIUL NATIONAL ""BARBU STIRBEI"" CALARASI";CĂLĂRAŞI
"COLEGIUL NATIONAL ""BETHLEN GABOR"" AIUD";"COLEGIUL ""B.G.""AIUD";ALBA
"COLEGIUL NATIONAL ""CALISTRAT HOGAS"", LOCALITATEA TECUCI";"COL.NAT.""C.HOGAS"" TC";GALAŢI
"COLEGIUL NATIONAL ""CAROL I"" CRAIOVA";COLEGIUL CAROL I CRAIOVA;DOLJ
"COLEGIUL NATIONAL ""COSTACHE NEGRI"", LOCALITATEA GALATI";"COL.NAT.""C.NEGRI"" GL";GALAŢI
COLEGIUL NATIONAL DE AGRICULTURA SI ECONOMIE, LOCALITATEA TECUCI;C.N.A.E. TECUCI;GALAŢI
COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA;CNI M.BASARAB RM.VALCEA;VÂLCEA
"COLEGIUL NATIONAL ""DRAGOS VODA"" SIGHETU MARMATIEI";CN D VODA SIGHET;MARAMUREŞ
"COLEGIUL NATIONAL ""ECATERINA TEODOROIU"" TG-JIU";"COL.NAT.""EC.TEODOROIU"" TG-JIU";GORJ
"COLEGIUL NATIONAL ""ELENA CUZA"" CRAIOVA";COLEGIUL ELENA CUZA CRAIOVA;DOLJ
"COLEGIUL NATIONAL ""EMIL BOTTA"" ADJUD";"COL. NATIONAL ""EMIL BOTTA"" ADJUD";VRANCEA
"COLEGIUL NATIONAL ""FRATII BUZESTI"" CRAIOVA";COLEGIUL FRATII BUZESTI CRAIOVA;DOLJ
"COLEGIUL NATIONAL ""GEORGE COSBUC"" MOTRU";"COL.NAT.""GEORGE COSBUC"" MOTRU";GORJ
"COLEGIUL NATIONAL ""GHEORGHE SINCAI"" BAIA MARE";CN G SINCAI BM;MARAMUREŞ
"COLEGIUL NATIONAL ""GIB MIHAESCU"" DRAGASANI";COL GIB MIHAESCU DRAGASANI;VÂLCEA
"COLEGIUL NATIONAL ""GRIGORE GHICA"" DOROHOI";"COLEGIUL NAT. ""GR.GHICA""";BOTOŞANI
"COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA";"COLEGIUL ""HCC"" ALBA IULIA";ALBA
"COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ";"COLEGIUL ""I.M.CLAIN"" BLAJ";ALBA
"COLEGIUL NATIONAL ""KOLCSEY FERENC"" SATU MARE";"CN ""KOLCSEY FERENC"" SATU MARE";SATU MARE
"COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES";"COLEGIUL ""L.BLAGA"" SEBES";ALBA
"COLEGIUL NATIONAL ""MIHAI EMINESCU"" BAIA MARE";CN M EMINESCU BM;MARAMUREŞ
"COLEGIUL NATIONAL ""MIHAI EMINESCU"" BOTOSANI";"COLEGIUL NAT.""M.EMINESCU"" BT";BOTOŞANI
"COLEGIUL NATIONAL ""MIHAIL KOGALNICEANU"", LOCALITATEA GALATI";"COL.NAT.""M.KOGALNICEANU"" GL";GALAŢI
"COLEGIUL NATIONAL MILITAR ""MIHAI VITEAZUL"" ALBA IULIA";COLMIL ALBA IULIA;ALBA
"COLEGIUL NATIONAL MILITAR ""TUDOR VLADIMIRESCU"" CRAIOVA";COLEGIUL TUDOR VLADIMIRESCU CRAIOVA;DOLJ
COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA;CN MIRCEA CEL BATRIN RM.VALCEA;VÂLCEA
"COLEGIUL NATIONAL ""NEAGOE BASARAB"" OLTENITA";"COLEGIUL NATIONAL ""NEAGOE BASARAB"" OLTENITA";CĂLĂRAŞI
